Verb;zero;pat;rec;loc;goal;ben;AnimU;ming;Nng;RecNg;LocNg;heeng;hoong;hooq;hoopang;hada;hoomi;mi;ong;taai;pei;doong;InvolA;ReluctA;EffectA;RestrA
buuk_hug;0;1;2;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0
punadia_hold;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
paneng_make;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
kek_prod;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
mook-pray;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
sangsangra_cluster;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
poq_crack;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
damaaha_low;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
lik_stick.into;1;1;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
took_pour;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
